"","attribute_name","attribute_description"
"1","dataset_name","Name of the dataset."
"2","source_file_name","Name of the ""raw"" file used to generate this dataset."
"3","project_name","Name of the project associated with this dataset."
"4","description","Narrative description of the dataset."
"5","keywords","Words that might be used to search for the dataset."
"6","data_source","Source of the data. Include enough information to track down the data source. Could be an instrument."
"7","r_script_source","If the data set was produced by as derived data from R code, provide R script file name, R script author and link to github respository."
"8","file_creation_date","Date that a file with this name was first created."
"9","last_modified_date","Date that this file was last modified."
"10","version_number","Current version number for this file"
"11","version_history","Brief narrative of file edit history"
"12","editor_name_history","Name of each person to edit the dataset with names seperated by comma. The last name on the list should be the last person to edit the file."
"13","data_collection_start_date","Earliest date of collection for data in the data set."
"14","data_collection_end_date","Last date of collection for data in the data set."
"15","data_collection_location","Collection location(s) for data in the dataset"
"16","species","List of species associated with the dataset"
"17","life_stage","Life stages associated with the dataset"
"18","data_entered_by","Person(s) who entered the source data from hard copy"
"19","data_contributor","Person(s) who were involved in generating or recording the data"
"20","data_owner","Principle Investigator"
"21","institution","The home institution that generated and/or owns the data"
"22","data_point_of_contact","Person(s) to contract with questions about the the data"
"23","data_POC_email","Email addeess of the data point of contact"
"24","archive_link","Location on google drive or githup where data are archived."
"25","how_to_cite","Directions on how to cite the dataset."
"26","acknowledgements","Acknowledgements that need to be included in any use of the data."
"27","related_datasets","Any datasets associated with this dataset (e.g. datasets that are part of the same study). "
