"KrillID","slope","rsq","SensorName","TrialID","MOATS","Treatment","LoadingLocation","VialNum","TelsonLength","WetWeight","CorrSlope","CorrWeightSlope"
"Trial01_KrilLR11",-18.0159770523216,0.804651163777768,"KrilLR11             ","Trial01","12","CUR","A1",1,"2.61",0.0303,-13.2166253498873,-436.192255771859
"Trial01_KrilLR13",-8.12227156351108,0.396704129705435,"KrilLR13             ","Trial01","12","CUR","B2",3,"3.06",0.025,-3.32291986107682,-132.916794443073
"Trial01_KrilLR14",-5.41797989941356,0.440820368806671,"KrilLR14             ","Trial01","6","TMP","B4",4,"2.09",0.0193,-0.618628196979296,-32.0532744548858
"Trial01_KrilLR15",-1.5818431679818,0.0173175629757379,"KrilLR15             ","Trial01","6","TMP","C1",5,"2.49",0.029,3.21750853445246,110.948570153533
"Trial01_KrilLR16",-15.5830099995014,0.692690253989166,"KrilLR16             ","Trial01","8","CHG","C3",6,"3.12",0.0437,-10.7836582970671,-246.765636088492
"Trial01_KrilLR17",-1.19245561884394,0.0186325795691063,"KrilLR17             ","Trial01","8","CHG","C5",7,"3.13",0.0329,3.60689608359033,109.632099805177
"Trial01_KrilLR18",-16.6422675788533,0.920748432460942,"KrilLR18             ","Trial01","12","CUR","E1",8,"3.37",0.0299,-11.8429158764191,-396.084143024049
"Trial01_KrILR110",-5.67737939404367,0.448923043351981,"KrILR110             ","Trial01","8","CHG","G1",10,"2.58",0.0255,-0.878027691609398,-34.4324584944862
"Trial01_KriLR111",-2.10758740341376,0.350887147327479,"KriLR111             ","Trial01","6","TMP","G3",11,"2.51",0.0265,2.69176429902051,101.576011283793
"Trial01_KriLR112",-8.63610136932624,0.512074903672048,"KriLR112             ","Trial01","6","TMP","G5",12,"n/a",0.0197,-3.83674966689197,-194.758866339694
"Trial01_KriLR113",-9.75872374742581,0.81136377441797,"KriLR113             ","Trial01","6","TMP","H2",13,"2.75",0.044,-4.95937204499154,-112.713001022535
"Trial01_KriLR114",-7.51985233334802,0.547900358365454,"KriLR114             ","Trial01","12","CUR","H4",14,"2.85",0.0169,-2.72050063091375,-160.976368693121
"Trial01_KriLR115",-16.8452347901196,0.836329264367079,"KriLR115             ","Trial01","6","TMP","I1",15,"3.13",0.0349,-12.0458830876853,-345.154243200153
"Trial01_KriLR116",-18.9104924362812,0.877623518817861,"KriLR116             ","Trial01","8","CHG","I3",16,"2.59",0.051,-14.1111407338469,-276.689033996998
"Trial01_KriLR117",-7.29601365067834,0.603499935134511,"KriLR117             ","Trial01","8","CHG","I5",17,"3.03",0.0393,-2.49666194824408,-63.5282938484498
"Trial01_KriLR118",-9.36009143080251,0.558090886523521,"KriLR118             ","Trial01","6","TMP","J2",18,"2.48",0.0275,-4.56073972836825,-165.845081031573
"Trial01_KriLR119",-19.1662536154212,0.779700594151202,"KriLR119             ","Trial01","6","TMP","J4",19,"2.96",0.0334,-14.3669019129869,-430.146763861884
"Trial02_KriLR220",-18.1185431735348,0.916433435555335,"KriLR220             ","Trial02","12","CUR","A1",1,"3.19",0.0225,-18.5516563044166,-824.51805797407
"Trial02_KriLR223",-12.7712136879695,0.405783646426086,"KriLR223             ","Trial02","2","CHG","B2",4,"3.08",0.0215,-13.2043268188512,-614.154735760523
"Trial02_KriLR226",2.84393247122947,0.285114552816415,"KriLR226             ","Trial02","12","CUR","C5",7,"2.43",0.0227,2.41081934034773,106.203495169503
"Trial02_KriLR227",-9.41005119007888,0.696618271302926,"KriLR227             ","Trial02","2","CHG","C5",8,"3.28",0.0373,-9.84316432096062,-263.891804851491
"Trial02_KriLR229",2.61857509324711,0.164508838465102,"KriLR229             ","Trial02","2","CHG","E5",10,"2.92",0.0308,2.18546196236536,70.9565572196545
"Trial02_KriLR232",2.44795683897625,0.448761490534334,"KriLR232             ","Trial02","12","CUR","G5",13,"3.32",0.0465,2.01484370809451,43.3299722170862
"Trial02_KriLR233",-8.63497262650526,0.944812508055055,"KriLR233             ","Trial02","2","CHG","H2",14,"3.36",0.0416,-9.068085757387,-217.982830706418
"Trial02_KriLR234",-3.17989844395691,0.255154617951778,"KriLR234             ","Trial02","12","CUR","I1",15,"2.65",0.0213,-3.61301157483866,-169.624956565195
"Trial02_KriLR235",-9.09052132569884,0.426607646895582,"KriLR235             ","Trial02","2","CHG","I3",16,"3.12",0.0429,-9.52363445658059,-221.996141179035
"Trial03_KRLr3_39",-5.87632382711506,0.463215315822306,"KRLr3_39             ","Trial03","1","TMP","A2",1,"2.48",0.026,-5.89985489627599,-226.917496010615
"Trial03_KRLr3_40",-19.1634173424427,0.938811007043839,"KRLr3_40             ","Trial03","1","TMP","A4",2,"3.16",0.0363,-19.1869484116036,-528.566071945003
"Trial03_KRLr3_41",-9.75487654755043,0.556302874855828,"KRLr3_41             ","Trial03","7","CUR","B1",3,"2.91",0.0252,-9.77840761671136,-388.032048282197
"Trial03_KRLr3_42",-4.94557678300293,0.52371129638051,"KRLr3_42             ","Trial03","13","CHG","B3",4,"2.25",0.015,-4.96910785216386,-331.273856810924
"Trial03_KRLr3_44",-15.4192122398139,0.781728546257512,"KRLr3_44             ","Trial03","1","TMP","C2",6,"2.79",0.0292,-15.4427433089748,-528.861072225165
"Trial03_KRLr3_45",-6.28812486444299,0.329841474952706,"KRLr3_45             ","Trial03","1","TMP","C4",7,"2.64",0.0216,-6.31165593360392,-292.206293222404
"Trial03_KRLr3_46",-15.0602260558794,0.87464363892919,"KRLr3_46             ","Trial03","13","CHG","D1",8,"2.93",0.0261,-15.0837571250404,-577.92172892875
"Trial03_KRLr3_47",-16.657882152206,0.937738276235389,"KRLr3_47             ","Trial03","7","CUR","D5",9,"3.03",0.0396,-16.6814132213669,-421.247808620376
"Trial03_KRLr3_48",-14.0298725925756,0.896911279546705,"KRLr3_48             ","Trial03","13","CHG","F1",10,"2.81",0.0317,-14.0534036617365,-443.32503664784
"Trial03_KRLr3_49",-0.203478137302475,0.00241462411407167,"KRLr3_49             ","Trial03","1","TMP","G2",11,"2.95",0.0425,-0.227009206463406,-5.34139309325662
"Trial03_KRLr3_50",-27.3694684445772,0.944110880401554,"KRLr3_50             ","Trial03","1","TMP","G4",12,"2.66",0.0538,-27.3929995137381,-509.163559734909
"Trial03_KRLr3_51",-9.43109601719116,0.722056837203417,"KRLr3_51             ","Trial03","7","CUR","H1",13,"2.94",0.0305,-9.45462708635209,-309.987773323019
"Trial03_KRLr3_53",-5.8259226803748,0.812802072345477,"KRLr3_53             ","Trial03","13","CHG","H5",15,"2.75",0.021,-5.84945374953573,-278.545416644558
"Trial03_KRLr3_54",-3.42660012603133,0.447967968933853,"KRLr3_54             ","Trial03","1","TMP","I4",16,"2.61",0.0222,-3.45013119519226,-155.41131509875
"Trial03_KRLr3_55",-17.3650405368396,0.924910765465594,"KRLr3_55             ","Trial03","1","TMP","J1",17,"3.24",0.0405,-17.3885716060005,-429.347447061741
"Trial03_KRLr3_56",-4.7480704870657,0.525736361537912,"KRLr3_56             ","Trial03","13","CHG","J3",18,"2",0.0202,-4.77160155622663,-236.217898823101
"Trial03_KRLr3_57",-15.5952754008303,0.926794706543078,"KRLr3_57             ","Trial03","7","CUR","J5",19,"3.16",0.045,-15.6188064699913,-347.084588222028
"Trial04_KRLr4_58",-13.032192335973,0.921514372052335,"KRLr4_58             ","Trial04","10","CUR","A2",1,"2.59",0.0248,-11.271879510107,-454.511270568832
"Trial04_KRLr4_62",-5.46243473829502,0.752869869889121,"KRLr4_62             ","Trial04","10","CUR","C2",5,"2.5",0.0174,-3.70212191242902,-212.765627151093
"Trial04_KRLr4_64",-9.06927277772391,0.672422001466746,"KRLr4_64             ","Trial04","7","CUR","D1",7,"2.35",0.0245,-7.30895995185791,-298.324895994201
"Trial04_KRLr4_67",-26.248733727916,0.886296540351577,"KRLr4_67             ","Trial04","10","CUR","F5",10,"3.29",0.0602,-24.48842090205,-406.784400366279
"Trial04_KRLr4_69",-10.9605582327597,0.915990926098077,"KRLr4_69             ","Trial04","13","CHG","G4",12,"2.59",0.0252,-9.20024540689369,-365.089103448162
"Trial04_KRLr4_70",-6.80806265843807,0.79177414536785,"KRLr4_70             ","Trial04","10","CHG","H1",13,"3.02",0.0315,-5.04774983257208,-160.24602643086
"Trial04_KRLr4_74",-7.90342261549142,0.962885594033462,"KRLr4_74             ","Trial04","10","CUR","I4",17,"3.21",0.0408,-6.14310978962543,-150.566416412388
"Trial04_KRLr4_75",-24.5814968092316,0.978800205799546,"KRLr4_75             ","Trial04","10","CUR","J1",18,"2.62",0.0271,-22.8211839833657,-842.110110087293
