"","SensorName","Date","Time","User","SensorID","delta_t","Unit...7","Value","Unit...9","Mode","Phase","Unit...12","Amplitude","Unit...14","Temp","Unit...16","patm","Unit...18","Salinity","Unit...20","Error","Cal0","Unit...23","T0","Unit...25","O2-2nd","Unit...27","Cal2nd","Unit...29","T2nd","Unit...31","CalPressure","Unit...33","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal Mode","SignalLEDCurrent","ReferenceLEDCurrent","ReferenceAmplitude","DeviceSerial","FwVersion","SensorType","BatchID","Calibration Date","Sensor lot","PreSens calibrated Sensor","Battery Voltage","Unit...52","Sequence","FileName","MOATS","Treatment","LoadingLocation","GlassVialNumber","Species","TelsonLength (mm)","Size","TrialID","dateTime","KrillID","RESPRound","Unit...66","percentDOassumpt","assumedSatDOmg","percentDO","obseveredSatDOmg","actualDOmg","CorTemp","SalinityConstant","assumed_vialVol","unique_vialVol","krilldensity","oxygen"
"1","KrilLR11","28-Oct-19",2019-10-28 14:25:02,"default",159906405,0.000333333333333333,"min",9.579,"mg/l","humid",28.019,"deg",3764,"uV",11,"∞C",1013,"mbar",30.3,"pmil",1,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38753,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.1,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61",0.0303,"Trial01",2019-10-28 14:25:02,"Trial01_KrilLR11","T1Round1","hour",1.05267731238059,9.09965464947414,1.05267731238059,9.09965464947414,9.579,11,30.3,0.02806,0.0280297,3.03e-05,268.4964963
"2","KrilLR11","28-Oct-19",2019-10-28 14:25:03,"default",159906405,5e-04,"min",9.45,"mg/l","humid",28.165,"deg",4358,"uV",11,"∞C",1013,"mbar",30.3,"pmil",1,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38750,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.1,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61",0.0303,"Trial01",2019-10-28 14:25:03,"Trial01_KrilLR11","T1Round1","hour",1.03850095020321,9.09965464947414,1.03850095020321,9.09965464947414,9.45,11,30.3,0.02806,0.0280297,3.03e-05,264.880665
"3","KrilLR11","28-Oct-19",2019-10-28 14:25:53,"default",159906405,0.0145,"min",9.109,"mg/l","humid",28.563,"deg",8021,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38789,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.142,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61",0.0303,"Trial01",2019-10-28 14:25:53,"Trial01_KrilLR11","T1Round1","hour",1.00102700057154,9.09965464947414,1.00102700057154,9.09965464947414,9.109,11,30.3,0.02806,0.0280297,3.03e-05,255.3225373
"4","KrilLR11","28-Oct-19",2019-10-28 14:25:54,"default",159906405,0.0146666666666667,"min",8.949,"mg/l","humid",28.757,"deg",12046,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38756,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.134,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61",0.0303,"Trial01",2019-10-28 14:25:54,"Trial01_KrilLR11","T1Round1","hour",0.983443915700378,9.09965464947414,0.983443915700378,9.09965464947414,8.949,11,30.3,0.02806,0.0280297,3.03e-05,250.8377853
"5","KrilLR11","28-Oct-19",2019-10-28 14:25:55,"default",159906405,0.015,"min",8.901,"mg/l","humid",28.815,"deg",12223,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38762,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.133,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61",0.0303,"Trial01",2019-10-28 14:25:55,"Trial01_KrilLR11","T1Round1","hour",0.978168990239028,9.09965464947414,0.978168990239028,9.09965464947414,8.901,11,30.3,0.02806,0.0280297,3.03e-05,249.4923597
"6","KrilLR11","28-Oct-19",2019-10-28 14:25:56,"default",159906405,0.0153333333333333,"min",8.955,"mg/l","humid",28.749,"deg",11341,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38757,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.132,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61",0.0303,"Trial01",2019-10-28 14:25:56,"Trial01_KrilLR11","T1Round1","hour",0.984103281383046,9.09965464947414,0.984103281383046,9.09965464947414,8.955,11,30.3,0.02806,0.0280297,3.03e-05,251.0059635
"7","KrilLR12","28-Oct-19",2019-10-28 14:26:03,"default",222108333,0.0171666666666667,"min",11.214,"mg/l","humid",26.353,"deg",1625,"uV",11,"∞C",1013,"mbar",30.3,"pmil",4,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38788,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.141,"V",2,"2019.10.28_RESPR_T1","blank","blank","A5",2,"Euphausia pacifica","n/a",NA,"Trial01",2019-10-28 14:26:03,"Trial01_KrilLR12","T1Round1","hour",1.23235446090781,9.09965464947414,1.23235446090781,9.09965464947414,11.214,11,30.3,0.02806,0.02806,0,314.66484
"8","KrilLR12","28-Oct-19",2019-10-28 14:26:04,"default",222108333,0.0175,"min",9.883,"mg/l","humid",27.684,"deg",3014,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38767,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.129,"V",2,"2019.10.28_RESPR_T1","blank","blank","A5",2,"Euphausia pacifica","n/a",NA,"Trial01",2019-10-28 14:26:04,"Trial01_KrilLR12","T1Round1","hour",1.08608517363581,9.09965464947414,1.08608517363581,9.09965464947414,9.883,11,30.3,0.02806,0.02806,0,277.31698
"9","KrilLR12","28-Oct-19",2019-10-28 14:26:05,"default",222108333,0.0178333333333333,"min",9.082,"mg/l","humid",28.595,"deg",14402,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38759,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.131,"V",2,"2019.10.28_RESPR_T1","blank","blank","A5",2,"Euphausia pacifica","n/a",NA,"Trial01",2019-10-28 14:26:05,"Trial01_KrilLR12","T1Round1","hour",0.998059854999534,9.09965464947414,0.998059854999534,9.09965464947414,9.082,11,30.3,0.02806,0.02806,0,254.84092
"10","KrilLR12","28-Oct-19",2019-10-28 14:26:06,"default",222108333,0.018,"min",9.128,"mg/l","humid",28.541,"deg",12800,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38760,"SAAA0005000123","p1.4.0.6","PSt3","191028-0",191028,194400,1,6.131,"V",2,"2019.10.28_RESPR_T1","blank","blank","A5",2,"Euphausia pacifica","n/a",NA,"Trial01",2019-10-28 14:26:06,"Trial01_KrilLR12","T1Round1","hour",1.00311499189999,9.09965464947414,1.00311499189999,9.09965464947414,9.128,11,30.3,0.02806,0.02806,0,256.13168
